song_id,embedding_0,embedding_1,embedding_2,embedding_3,embedding_4,embedding_5,embedding_6,embedding_7,embedding_8,embedding_9,embedding_10,embedding_11,embedding_12,embedding_13,embedding_14,embedding_15
223,-0.4365008,-0.6465323,-0.44033936,0.5725661,0.4040738,-0.18214534,0.36163795,0.15823936,-0.3627081,0.26763815,-0.21612582,0.20478378,0.73627734,-0.5484353,0.66760284,0.2952419
237,-0.001501682,0.16458927,-0.40963346,0.13656966,-0.09053286,-0.077886045,0.11760741,-0.48673624,0.5537525,-0.008227686,-0.18490237,0.43986073,-0.22959635,0.25156748,0.038702637,0.4938874
551,0.04077619,-0.2269653,-0.00037210432,0.35110065,-0.15731369,-0.028747234,-0.15617362,-0.05293824,-0.15111142,-0.041866146,-0.28041598,0.055160336,-0.08893397,0.019990947,0.04485796,-0.07232486
579,0.51691616,0.21569031,-0.015339341,0.2649216,-0.060079236,-0.086501285,0.055052847,-0.26902688,-0.5823515,-0.50966346,0.2839155,0.25992742,0.2417944,0.08848888,0.153021,0.30571932
1953,-0.00226007,0.157567,-0.0022694801,0.21445532,0.015436721,0.18652272,0.19279253,-0.40774155,-0.23368475,-0.5016253,-0.2431192,-0.14408343,-0.07246498,0.077208824,-0.28745607,0.43083876
1947,0.44431418,0.29176155,0.47505608,-0.4761941,0.20439057,-0.4572306,0.10495441,-0.49872836,-0.5196158,-0.23040842,-0.4010106,-0.39599758,0.02296258,-0.4542356,-0.08565698,0.5156563
586,0.11255506,-0.32986748,-0.112200074,0.043778688,0.21341835,0.06545564,0.021610979,0.049240597,-0.09058122,-0.14019956,-0.045085106,-0.08648012,0.12871245,0.15481517,-0.06039514,0.05566371
1012,0.51922184,-0.26412416,0.29563722,0.6510902,-0.15314396,0.5732837,-0.055737108,-0.41605103,-0.30610994,-0.34650132,-0.35446,-0.32733828,-0.33075777,-0.06202895,-0.33130676,0.14535156
1774,-0.065428406,-0.20338185,0.4383556,-0.17816572,-0.020037374,0.12742704,-0.15317236,-0.45380676,-0.22743775,-0.4076088,-0.41315302,-0.3579717,-0.48845145,-0.477658,-0.20172295,-0.11352791
1760,-0.43527597,0.32593632,-0.15832093,-0.5051958,0.046041727,-0.32129207,-0.07203431,-0.112087086,-0.16463342,-0.36820772,0.3197132,-0.037207786,0.14905937,0.10747597,0.25087905,0.31570226
1006,-0.48627058,-0.4709783,0.122204155,-0.42053342,-0.26452872,-0.0034966178,0.018580671,-0.40965232,0.16206509,-0.47274968,-0.23978396,0.27066553,-0.5089453,-0.23124546,0.17892675,-0.2290628
592,-0.1989676,0.06944461,-0.4214755,0.14465071,0.3383346,-0.04607314,-0.02961775,0.09021116,-0.058311906,-0.03759854,0.06826125,0.29654762,-0.09653738,0.3143394,0.13284744,0.47245923
1990,0.22819355,0.13435456,0.1291373,0.25490627,-0.23450243,-0.27852783,0.16832647,-0.118725695,-0.2822359,-0.1532709,-0.10671484,0.047565263,0.24590954,-0.25692567,-0.28070098,0.034244098
1748,-0.11361178,-0.5226379,0.26488537,0.13602261,-0.032525152,0.04970794,0.06571042,-0.42122132,-0.29261252,-0.29661098,-0.4119057,-0.271054,-0.12242566,-0.61050105,-0.55307084,-0.26278022
1984,-0.013671254,-0.24162531,0.6198435,0.3684515,-0.43520758,-0.012021603,0.45822963,-0.16196133,-0.2543711,-0.4065349,-0.0072736726,-0.01571959,0.10618356,-0.054622952,0.04167031,0.3429411
747,-0.1235006,-0.35467038,-0.121867515,0.456411,-0.1850071,-0.056580182,0.054785773,-0.00835403,-0.09895028,-0.11193256,0.08421345,0.14711802,0.26383936,0.3170586,0.35491484,0.2116614
1589,0.36764422,-0.18412524,0.23867352,-0.14297004,-0.09781332,0.4047014,-0.22448026,-0.50036913,-0.1876416,-0.17661011,-0.13719079,-0.55230016,-0.015456868,-0.3301951,-0.3992041,-0.07602936
1576,-0.17021045,0.006926202,0.4096597,-0.13227698,0.2511327,0.3115216,-0.1849609,-0.19580118,-0.5910895,-0.3644368,-0.15541293,0.21590078,-0.011210278,-0.5377645,-0.16680501,0.11453031
1210,0.15578803,-0.47910184,0.4610136,0.13950975,-0.025472209,-0.15406276,0.47842956,-0.23620996,-0.15467371,-0.27429095,-0.068072565,0.15334578,-0.1278206,-0.16957134,-0.16552214,0.41977784
784,-0.3546771,-0.09014053,-0.4140653,-0.36927137,0.12781616,0.28528816,0.3698381,-0.13123135,-0.22921872,-0.111691155,-0.15025978,0.26782838,0.39572495,-0.6033352,-0.5435256,-0.5168627
790,0.09409647,0.37537432,-0.3523756,-0.17171368,0.56144094,-0.5166327,0.13056287,-0.3454322,0.5202369,0.51677877,-0.36215627,0.17761289,0.21704224,0.06519571,0.82973427,0.17263271
